Temperature [_ C],Humidity [%],Soil moisture,Reference evapotranspiration,Evapotranspiration,Crop Coefficient,Crop Coefficient stage,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,Solar Radiation ghi,Wind Speed,Days of planted,pH,Target
19.94840038242026,39.01665264930354,0.0,196.1064059,90.20894669,0.46,0,166.90706338388478,21.429292856679297,22.34222100116891,421.7677181002682,2.9654285918261003,9,5.216316232141107,0
23.98630980573471,93.58847892240055,100.0,148.691473,510.8587345,0.83,2,74.21154475054374,37.05590474874385,47.53063205859971,448.98769608758397,1.20164037908693,90,9.121402939949409,0
9.190974933956195,93.65218038534468,100.0,170.3996903,284.6724424,1.35,2,64.71137299878993,80.66566436755812,115.18254788542669,822.2669310781532,1.0119621926750033,45,9.188324672432998,0
20.195299700645947,61.956441198970055,100.0,971.2031537,787.908508,1.19,2,76.68265351203948,128.80427748192994,75.41624726203027,536.2227068183562,0.9716624812816739,65,2.7247023477247243,0
20.56,63.68,655.72,461.2839474,55.54289058,1.43,2,84.0,94.0,133.0,285.96,2.74,70,5.59,1
24.97501871392955,100.0,100.0,442.0731722,840.121326,0.99,2,102.47166311927887,44.02031498951092,183.9254436843985,1126.88385250472,3.1237711432864517,94,8.52124631322898,0
40.07368655048748,54.0451814195917,100.0,274.1920463,238.1916383,1.26,2,82.54278963255678,33.79273534330838,17.127376374484648,745.1202717850133,2.162067847222781,85,7.1780212154043905,0
27.81,60.12,455.35,126.326398,122.6155733,1.04,2,92.0,65.0,83.0,103.71,2.67,100,5.82,1
12.01633596318403,52.54998570846094,100.0,60.66089234,85.72108736,1.39,2,75.68084810724065,112.90980157871167,31.5989465443469,426.1941818252876,0.0,105,3.187474430780847,0
29.5458762028832,55.44738740653851,100.0,318.4010323,816.4925785,1.06,2,97.24822945813418,92.26395942353733,77.52015117185232,18.507404536580708,3.0303259756723913,90,5.230620368247481,0
29.23,71.66,254.17,565.3490268,640.0829189,0.86,2,102.0,60.0,48.0,363.26,3.52,94,3.44,1
23.86346141480916,84.58729934565275,100.0,593.4101585,272.9686729,0.46,0,118.24412275340596,-0.7838989454042462,43.52799057956399,904.0780330602818,0.0,9,2.0437613034297506,0
27.48521554045052,41.29605558739533,100.0,646.6253983,588.2733386,1.28,1,79.46003348646803,51.283331010904064,126.98127358931185,1048.8217970089772,1.8520151975842647,35,8.251540318673385,0
38.12080451193212,64.43667883197688,0.0,5.841427585,2.570228138,0.44,0,113.51193172569694,35.921844633254935,-24.20404551306092,0.0,2.222266768980272,6,7.609638031806943,0
23.17,73.21,544.37,778.0476316,378.8594836,1.15,2,100.0,106.0,90.0,610.79,1.71,85,6.87,1
26.7,60.27,191.5,728.7879208,682.8313511,1.07,2,102.0,106.0,72.0,458.45,1.76,55,2.02,1
22.318525212882687,74.24463211161378,100.0,1066.838229,870.1469409,1.07,2,119.09161781291542,93.41743451293584,13.311186612540055,284.0813636242425,3.335269244856393,45,1.8474059311522328,0
25.847065609897278,62.728397790913135,100.0,213.6630609,432.4045254,1.03,2,140.9972404366363,110.25569689279973,65.16940156606337,739.3716212375388,4.42083304520342,85,1.6382811184667352,0
24.6,91.73,130.54,350.3003171,783.9991094,1.07,3,95.0,75.0,72.0,647.2,1.8,125,5.76,1
20.13,91.32,675.02,153.5910775,644.9466862,0.89,2,107.0,43.0,79.0,320.0,2.49,100,4.63,1
29.015212109536638,77.7474332939103,100.0,947.2872344,674.0659637,1.26,2,33.96216414775746,87.81650413659554,130.14808404258147,1006.8453275907532,1.345571047390234,70,2.824670189920427,0
27.36,62.98,578.17,153.9959463,426.4189931,1.35,2,115.0,80.0,59.0,491.96,2.14,85,2.55,1
28.9,85.8,196.0,50.36490259,50.32818373,0.74,1,118.0,39.0,55.0,732.0,1.44,32,3.66,1
24.35,83.26,136.09,477.8800827,292.2220677,1.28,2,107.0,108.0,112.0,283.04,1.15,55,4.37,1
19.86,80.57,520.52,219.1889984,517.9658244,1.01,2,77.0,56.0,120.0,48.39,2.52,100,3.21,1
20.03,62.89,261.93,403.5191367,738.5810451,1.3,2,70.0,97.0,60.0,314.52,2.91,55,3.3,1
33.13714285417258,100.0,100.0,431.2529513,12.21596761,1.04,2,78.65884971996284,27.189873292397294,174.5431535565255,652.9137837941079,1.3462516917221,85,9.33673643121065,0
13.261801867490254,56.73971237170432,100.0,1014.572991,848.6754456,1.01,2,93.92050684363909,24.539532753434784,-6.186292975170829,979.9251427089273,0.6491811479219773,85,7.043727241002147,0
30.000735510529616,68.97208875882902,100.0,892.7238129,213.8066677,1.12,2,90.63637822198055,145.17594621348024,28.26160523054115,346.38532477274157,3.762787464718048,85,0.8015138300856792,0
28.9,85.8,196.0,50.36490259,37.27002792,0.74,1,118.0,39.0,55.0,792.0,1.44,25,3.72,1
21.14,62.09,214.58,358.4224299,898.8166326,0.9,2,100.0,84.0,132.0,261.59,2.6,62,5.54,1
33.53020603359424,68.60459348925576,100.0,522.4803887,395.5403757,0.81,2,120.26056037894844,117.34952626563526,56.664503826762754,0.0,6.00498826497649,100,3.8510330721478816,0
31.75,88.34,610.46,698.3694184,204.1912683,1.37,2,96.0,68.0,103.0,149.71,1.79,62,3.46,1
31.741576487022478,91.74112758097772,100.0,673.1364275,825.052944,0.81,2,113.45692238757789,63.451196432119616,27.359080050388272,0.0,5.000328029219233,62,2.865109315686901,0
37.678609243732176,76.07570521517242,0.0,220.5410881,300.4087819,1.23,2,47.013407541076916,52.50689361358661,72.09129539408838,331.34468174748787,3.244525060954476,62,5.385112374008967,0
20.68,93.66,567.33,484.7905879,511.3399655,0.84,2,91.0,89.0,63.0,444.0,3.86,110,6.59,1
28.02,60.44,137.15,134.6455621,250.7742743,0.84,3,107.0,46.0,102.0,250.13,3.0,120,3.14,1
31.54,79.5,489.51,459.1188896,646.6778287,0.98,2,103.0,84.0,118.0,101.01,2.55,100,5.21,1
30.52221067281308,85.73884565848779,100.0,116.352067,291.8657973,1.5,2,147.63967163552005,19.320920862337573,95.99029264296365,0.0,3.397002009504364,105,7.0235347095202085,0
25.98,90.33,454.57,1073.998559,728.6020917,1.07,2,79.0,107.0,119.0,718.77,2.61,45,2.2,1
21.49,85.19,630.36,769.7716257,876.2378235,1.42,2,93.0,100.0,54.0,704.62,3.35,62,3.06,1
40.73982955936842,41.19592349881219,100.0,987.8177,157.4230629,0.84,2,97.3980149829404,91.12385598704714,-1.4570242895775039,879.6827693023693,0.0,70,5.155160527871088,0
18.2,82.74,510.17,1008.450459,96.09920755,1.22,2,92.0,67.0,125.0,300.69,1.93,85,6.84,1
24.77,61.41,445.63,445.1258045,79.67416432,1.3,2,116.0,91.0,96.0,192.29,2.75,85,3.6,1
23.59,65.66,331.06,974.5380091,804.8717722,1.11,2,105.0,52.0,40.0,67.3,1.07,62,5.7,1
29.8,77.0,307.0,558.9691125,234.7670273,0.42,0,118.0,42.0,57.0,622.0,2.09,3,3.54,1
20.47,80.73,255.82,635.0226593,167.9244203,1.05,2,105.0,108.0,91.0,96.92,3.82,105,3.86,1
23.36,66.62,367.31,549.7397552,90.15489315,0.99,2,89.0,60.0,114.0,526.58,2.17,100,6.79,1
13.263112656851161,100.0,100.0,183.1009844,108.5263904,1.14,2,101.3644689343246,99.39261395900621,171.54372301834394,0.0,5.513814061947221,100,6.5772716567613925,0
32.50020706606482,44.838756011527025,47.292419118974024,156.1642758,407.1220962,0.89,2,56.57397004697624,19.94597241602267,66.2520700831864,1049.0308244454764,1.854985259531567,55,9.095222026111164,0
31.73,76.77,460.73,866.9321222,123.275134,1.02,2,106.0,82.0,84.0,604.17,2.59,70,5.67,1
28.776861367176032,45.03669155933001,100.0,565.3490268,640.0829189,0.86,2,110.6370512578049,36.14031355768633,52.31542797774375,255.27539763316395,3.8554136311385356,94,5.085099244828523,0
30.85,74.16,389.53,793.6113265,754.174302,1.37,2,106.0,104.0,109.0,119.18,1.48,100,6.02,1
28.446988000408354,53.143271834725425,100.0,557.3681818,234.0946363,0.42,0,56.97203204842153,-4.8667442130199845,-1.3950809728396365,119.40770181511232,0.7073915490109595,3,1.7943109438021412,0
22.17,76.47,170.99,160.1359346,10.51863487,1.25,2,102.0,76.0,74.0,442.59,2.27,85,3.15,1
23.03,61.04,240.37,818.2837824,600.1926003,0.87,2,61.0,45.0,113.0,202.07,1.71,100,3.47,1
24.38,81.5,657.52,778.7419828,861.957151,0.98,3,106.0,88.0,52.0,375.73,2.23,125,2.71,1
29.4195793277748,57.71872723806179,100.0,695.7454616,773.1799512,1.02,2,105.22228911594576,103.27176422327011,188.12246011694583,0.0,4.254187671011828,105,2.2419577076377664,0
18.22,81.46,239.22,546.8753433,523.1563263,1.39,2,86.0,87.0,123.0,399.6,2.32,105,4.41,1
41.79613912507454,59.271642468205386,0.0,196.9530654,90.59841007,0.46,0,81.10081281861491,54.662693421255796,58.69559020903685,0.0,4.195170604400727,9,2.122973890530167,0
28.7,78.6,266.0,35.94368304,15.81522054,0.44,0,117.0,42.0,58.0,43.0,1.93,6,3.55,1
31.85,71.65,476.91,278.6033223,715.5201068,1.06,2,95.0,104.0,61.0,147.55,1.62,100,3.07,1
21.04,63.44,651.92,522.0092762,253.1518411,1.2,2,94.0,60.0,52.0,208.12,1.92,55,4.8,1
23.68,75.48,619.02,627.6476291,232.997428,0.89,2,72.0,98.0,87.0,385.0,4.06,62,2.15,1
19.84,74.47,541.01,952.2021233,281.9418149,1.45,2,83.0,40.0,127.0,129.52,2.43,94,6.44,1
28.78,62.86,638.85,10.58470586,48.31980843,1.23,2,60.0,81.0,53.0,522.78,1.12,94,6.75,1
22.320629862024795,100.0,100.0,153.2027075,67.40919131,0.44,0,32.362745232266036,34.336306939217465,-24.07560428855124,34.230925184919386,2.5208623063067273,6,7.771445123231519,0
26.61,89.88,155.35,62.20086704,631.424994,1.28,2,109.0,71.0,126.0,598.79,2.65,94,5.12,1
25.062216142887724,40.46680774384324,100.0,1060.402967,600.84125,1.16,2,30.648245061632586,133.36872123547082,109.79857608761155,1029.6196200538056,2.4415878458266302,65,1.4362080958286687,0
27.09242405283667,86.97912898454794,100.0,402.3875041,583.7997372,1.36,2,126.00651065107286,91.64611867834243,154.59924286572078,572.6895076981456,1.5076302558046708,65,0.012225978544655458,0
12.897550782145224,93.11275802570997,100.0,1069.885333,115.8941561,1.01,2,88.89248577655005,89.86765856633443,141.50274427275326,0.0,3.4046136658429016,62,1.8093397014231218,0
28.972858864345728,80.77574485873151,100.0,868.829837,729.5574,1.29,3,47.79087645575343,75.77100821858554,135.39475561389986,465.09215711804643,4.7924498111150005,125,5.638200469878111,0
31.48509383460695,96.35820557982356,0.0,50.36490259,37.27002792,0.74,1,152.9598388772861,-17.853964020111817,52.91435930588146,348.478948058859,1.2837476526835925,17,0.0,0
25.26,92.32,465.79,432.5737468,514.9428125,0.9,2,68.0,86.0,135.0,54.47,2.78,62,3.1,1
28.339965481087958,85.69360433831133,100.0,310.2869365,70.69133184,1.28,2,65.49976077609207,36.457401909048706,60.12856573658418,227.20459741687586,6.884517828927427,100,9.765468427614003,0
29.83,62.75,236.18,989.5028631,245.696266,1.21,2,73.0,97.0,113.0,585.45,3.93,85,4.34,1
32.60471498938756,84.28978532914816,100.0,609.676579,15.87148199,1.09,2,83.59567875459848,116.84654547858833,101.75738307541805,0.0,3.6337858459003454,94,1.929591042757297,0
29.182688883903985,73.42723540480772,100.0,888.0521188,344.5201058,1.35,2,80.72593384358038,71.25526365519447,168.3587814251304,0.0,3.3655323780155566,94,4.771115530152373,0
32.785910223779425,87.92152608510432,100.0,50.36490259,37.27002792,0.74,1,129.96488513442986,67.20272437928864,85.71930779644663,0.0,3.809181165368388,17,0.4971294361492249,0
26.432487431574547,100.0,0.0,1042.245889,426.9814208,1.38,2,58.90783121308428,122.14029934454607,-35.301345407165,853.179687497571,2.876198732980052,85,6.088934980064035,0
18.62,89.28,475.36,410.8779008,271.1763299,0.98,2,93.0,59.0,116.0,120.59,2.83,85,2.67,1
29.455597910392697,61.45839425059568,100.0,5.851281038,2.574563657,0.44,0,156.29026922524815,76.24517041684253,75.16646795208771,173.07595069408342,2.0535874458009222,6,6.314205306610299,0
29.33268371950381,91.20689675545455,100.0,295.3927927,487.4875512,0.85,2,49.20319776943922,64.49289840274842,90.65479764406551,331.72808203921477,6.077506998992364,55,1.921146617179474,0
30.49,87.44,572.1,90.75863073,189.9883681,1.19,2,87.0,69.0,114.0,233.7,3.63,55,3.17,1
29.4,81.3,307.0,555.2071511,233.1870035,0.42,0,105.0,37.0,53.0,622.0,2.09,3,3.59,1
21.42,64.64,270.94,49.5074512,138.1620299,1.25,2,90.0,54.0,71.0,33.43,3.72,85,5.39,1
22.93,72.41,484.28,185.4468017,68.99937437,1.47,2,81.0,43.0,121.0,338.42,1.24,105,6.35,1
20.76,68.68,395.29,848.099699,77.70471582,1.15,2,75.0,74.0,46.0,512.61,3.89,62,2.85,1
23.123464095232897,79.87575293413173,100.0,593.1439819,272.8462317,0.46,0,121.79313673963438,9.290820418871604,-10.399051049722317,497.8612904911043,0.0,9,4.971468106088804,0
16.197471447131978,80.1317906758552,100.0,422.9956566,299.8757986,0.93,2,98.64309519915493,49.01927806317271,40.15950902870098,1074.7665248377978,1.962414049554281,105,5.953683218213561,0
22.27,78.81,447.75,571.7941543,174.7571689,1.46,2,62.0,63.0,78.0,350.0,2.32,100,4.14,1
18.75,77.66,448.18,396.6788049,778.2976201,1.1,2,74.0,78.0,52.0,344.98,3.78,62,2.18,1
30.28,90.59,252.23,105.5834695,754.7527991,0.88,2,79.0,53.0,79.0,113.98,3.77,100,4.99,1
22.31,88.09,476.42,446.841487,315.7275611,1.16,2,63.0,51.0,78.0,346.57,3.89,100,3.39,1
21.34,77.91,591.54,952.8603936,215.4866712,1.23,2,108.0,94.0,49.0,709.25,2.44,65,4.92,1
34.90546760103972,56.17320768988384,100.0,1092.766545,480.6891593,0.8,2,154.27038479200968,69.19983722308108,182.2804542166951,1185.1898521136243,2.489496926263002,85,3.7108394046419466,0
31.54,67.8,373.82,901.526642,87.45420896,0.82,2,69.0,68.0,116.0,202.77,3.51,100,5.39,1
11.116362849185322,87.7753877269882,100.0,868.401867,107.3903886,1.06,2,128.5260467693217,132.45976366326255,126.88154820207855,291.4973611250073,5.4667782015178465,105,8.781324643804734,0
27.72,70.29,601.25,686.1819007,391.1181446,1.46,2,90.0,60.0,94.0,628.92,1.96,65,5.67,1
25.95,78.9,157.55,776.4049668,789.0029432,0.94,2,86.0,109.0,63.0,116.97,2.7,85,4.27,1
16.240191083838866,71.02501391588764,0.0,924.4732044,228.6825454,1.42,2,92.26718860053515,128.5050119458546,199.58944129395917,416.5801134637981,2.4814065572355055,94,3.662660081540436,0
18.55,77.1,204.02,765.9887454,356.1807611,0.89,2,76.0,60.0,107.0,8.21,1.25,100,2.13,1
19.95,85.13,346.23,178.6029075,324.5235572,1.41,2,106.0,75.0,52.0,479.25,1.3,70,4.89,1
25.204700287930162,81.7393525869007,100.0,605.3456756,831.6393383,0.83,2,103.95633297666427,146.61496312107982,119.2210771100144,516.3689084473051,0.7909972678577697,85,3.376923438057092,0
28.8,78.9,265.0,35.92965567,15.80904849,0.44,0,107.0,37.0,50.0,43.0,1.93,6,3.54,1
28.06,92.53,324.81,635.9727871,378.459958,1.27,2,67.0,43.0,89.0,549.59,1.26,85,3.43,1
19.958334434723447,42.45164528966431,100.0,829.9162579,121.224352,1.41,1,118.20249968810319,134.91880031597177,171.85999134711744,971.9917789706052,3.1345087993030654,40,5.725435718738492,0
22.63,85.5,663.73,864.3243708,836.8065425,1.17,2,117.0,48.0,70.0,602.01,1.68,85,5.47,1
28.9,86.0,196.0,50.35020224,37.25914966,0.74,1,117.0,42.0,58.0,203.0,1.02,17,3.69,1
25.02,78.03,494.36,569.3917975,27.04935387,1.47,2,84.0,64.0,127.0,596.14,1.18,105,6.42,1
32.53022118128238,82.36708880280992,100.0,448.1420249,670.1602552,0.85,3,129.90714761979729,45.42107587025072,20.724626515291362,0.0,4.600560129588324,130,4.480936257810143,0
21.873675080886,75.67172295265017,100.0,1006.499265,237.5886144,0.88,2,118.70532059224962,134.68381196548776,105.8560887959953,0.0,1.0792705089235586,100,10.393431418805264,0
28.08,66.58,536.01,958.4592939,641.8071535,1.26,2,63.0,89.0,42.0,631.44,2.79,85,2.79,1
31.21,64.39,147.41,905.7973978,701.8431695,0.84,2,115.0,64.0,45.0,58.14,2.72,45,5.01,1
30.02272160677672,38.04696951129413,100.0,348.4524199,686.4112575,1.36,2,107.08357824224825,122.657302611768,100.16155932659919,134.1713452230585,2.1112849456162923,62,7.637296793490818,0
27.930280858114372,69.09215874476834,100.0,759.3295222,882.429584,1.21,2,93.33615788302016,43.022387279076455,107.76344740377881,0.0,1.2344578448240067,62,3.9315235360178784,0
30.0,62.2,231.0,197.1033576,90.66754447,0.46,0,117.0,42.0,58.0,258.0,2.72,9,3.69,1
29.09,80.62,466.7,565.2315486,679.7843122,1.0,2,71.0,75.0,83.0,329.24,3.34,70,6.04,1
20.27,81.38,508.53,67.40850113,356.8907455,1.35,2,72.0,45.0,109.0,557.27,3.69,55,6.88,1
15.124236323296055,43.25526435581114,100.0,396.6177675,185.1245562,1.37,2,102.10770125660278,80.24625267565443,53.68692582595804,821.4831767468427,4.290808547556182,65,4.208681085992272,0
29.744787295007338,58.58964489183604,100.0,339.5100452,545.8952248,0.94,3,103.8943915392395,129.63525842912767,87.01447241700266,105.50693403445788,5.602512377161872,125,0.0,0
27.342817575638755,74.62602108557554,100.0,1062.433546,521.6281772,0.86,2,106.53827338647991,6.649113847241274,17.29321521360793,217.04045890132818,0.19445449771323942,100,5.915873475784137,0
29.752822950457265,64.54595833906964,0.0,428.5190217,889.618319,0.93,2,33.57061580686611,49.35888422147212,47.119868034634365,952.9605318708557,5.623255585061045,94,2.6775219444309712,0
19.432608175858018,72.86451472571609,100.0,465.8098964,541.9806485,1.39,2,109.73706107306708,59.55531028297446,133.22786128321496,447.0340110031075,0.8702741379822378,100,0.28428997663742805,0
18.13,80.0,616.9,426.3290172,445.3325012,1.31,2,113.0,75.0,124.0,130.15,3.24,100,6.5,1
22.37891835048881,82.44832937713274,0.0,17.21032814,97.47585252,0.85,3,39.03014933642281,74.65314745596248,24.833846486340107,297.44235015689884,0.0,115,4.504705469158238,0
24.19,91.56,609.23,925.4889155,722.0224029,0.84,2,113.0,79.0,42.0,200.28,3.16,65,3.41,1
26.753961151488475,100.0,100.0,1086.849853,309.6006698,1.04,2,61.078808051158816,102.47619250039116,102.91269851046634,719.2073969846158,6.397652360411188,100,5.3091566149055325,0
33.47410641992467,95.88818060688854,0.0,1011.658309,5.734132697,1.33,2,30.525728334018204,145.8151333409724,174.60191305192637,0.0,1.2495313564162014,100,7.756148125259402,0
29.07024442529093,72.96057797285414,100.0,1019.780456,290.0126573,1.17,2,149.6957586992142,-2.1155970596770217,88.07631270618774,998.9723446512094,0.09560179406616554,62,6.667224329283018,0
36.16354282697084,65.00376937904565,100.0,301.1287411,223.5744435,0.85,2,117.40346521051788,20.308052796868246,172.50575534339487,559.6261283073306,3.0088627281831735,100,4.960148656495439,0
24.85,62.96,222.58,861.5944459,528.9491037,1.1,3,89.0,90.0,133.0,718.41,2.73,125,2.07,1
36.76865190388991,95.30081520970786,100.0,885.6655402,530.8720588,1.47,2,118.93602145445229,119.58997356508029,13.740328083471987,444.5598020463308,1.5470356887923749,62,5.556306577238083,0
18.96,82.25,613.06,920.0650058,853.0126754,1.06,2,85.0,95.0,123.0,49.44,2.78,100,4.98,1
17.153816841546796,62.784067356056084,100.0,505.2592541,222.3140718,0.44,0,135.5640245902121,43.30523840640271,22.116251614687073,849.2660699811424,0.0,6,2.548373023338963,0
24.45,69.95,688.3,143.6361669,48.07879282,1.33,2,85.0,47.0,80.0,561.71,1.94,94,3.78,1
